DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência e Ano notificação
UF de residência: Acre, Alagoas, Amapá, Amazonas, Bahia, Ceará, Distrito Federal, Espírito Santo, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Rondônia, Roraima, Santa Catarina, São Paulo, Sergipe, Tocantins
Período:2014-2025
"Município de residência";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"Total"
"312733 GAMELEIRAS";-;-;112;9;-;52;190;2;28;16;8;224;85;726
"312735 GLAUCILANDIA";-;2;8;64;7;18;109;3;11;14;161;162;8;567
"312737 GOIABEIRA";-;1;36;7;-;24;9;2;2;4;9;81;1;176
"312738 GOIANA";-;-;3;129;1;3;75;-;2;-;83;485;62;843
"312740 GONCALVES";-;-;6;-;-;-;-;1;-;1;-;42;4;54
"312750 GONZAGA";-;-;4;2;15;-;66;2;-;29;39;218;16;391
"312760 GOUVEIA";-;1;17;41;2;3;226;19;6;5;59;1564;11;1954
"312770 GOVERNADOR VALADARES";14;763;835;899;2544;172;637;1432;1210;1271;3593;4634;680;18684
"312780 GRAO MOGOL";-;2;1;4;-;-;98;2;2;7;148;568;4;836
"312790 GRUPIARA";-;1;35;9;3;-;105;11;1;168;28;31;21;413
"312800 GUANHAES";-;3;8;56;5;4;38;26;42;99;166;2106;50;2603
"312810 GUAPE";-;63;17;83;-;-;49;8;3;103;538;1602;74;2540
"312820 GUARACIABA";-;-;1;8;-;2;7;-;-;2;23;1064;27;1134
"312825 GUARACIAMA";-;2;5;371;4;80;131;3;7;52;517;66;16;1254
"312830 GUARANESIA";-;23;287;619;11;1;725;140;8;27;49;1657;134;3681
"312840 GUARANI";-;-;404;609;5;94;321;26;11;18;22;154;159;1823
"312850 GUARARA";-;4;24;98;1;1;8;-;2;137;209;187;132;803
"312860 GUARDA-MOR";-;329;24;9;-;15;441;11;8;48;190;290;16;1381
"312870 GUAXUPE";-;8;451;475;18;27;171;344;17;824;678;11123;2580;16716
"312880 GUIDOVAL";-;2;288;278;6;68;8;19;2;5;13;167;35;891
"312890 GUIMARANIA";-;12;98;181;13;2;86;2;-;16;262;90;9;771
"312900 GUIRICEMA";-;2;30;763;3;107;24;8;-;2;36;501;37;1513
"312910 GURINHATA";2;89;241;116;56;32;89;36;17;479;85;394;53;1689
"312920 HELIODORA";-;-;8;2;2;-;-;-;-;1;-;179;25;217
"312930 IAPU";-;4;8;32;9;6;15;4;5;9;105;602;78;877
"312940 IBERTIOGA";-;-;-;4;2;-;-;1;-;-;7;606;2;622
"312950 IBIA";-;326;416;128;9;5;159;32;32;75;613;2959;46;4800
"312960 IBIAI";-;2;26;38;1;20;159;18;10;1;178;564;26;1043
"312965 IBIRACATU";-;-;2;41;146;30;177;-;-;5;134;420;20;975
"312970 IBIRACI";-;3;9;21;8;6;77;3;2;676;45;1026;76;1952
"312980 IBIRITE";-;14;1057;10274;54;32;8963;253;62;74;700;21331;1694;44508
"312990 IBITIURA DE MINAS";-;-;6;3;-;-;-;5;-;-;-;86;9;109
"313000 IBITURUNA";-;4;4;4;-;-;2;-;-;1;6;429;12;462
"313005 ICARAI DE MINAS";-;-;19;44;2;44;50;61;7;9;156;405;19;816
"313010 IGARAPE";-;54;1364;2109;49;11;2697;141;92;90;1680;3330;574;12191
"313020 IGARATINGA";-;11;112;1001;13;19;199;229;40;45;242;1000;90;3001
"313030 IGUATAMA";-;102;842;11;3;21;212;13;-;14;34;799;20;2071
"313040 IJACI";-;223;115;41;4;3;13;-;54;44;557;292;251;1597
"313050 ILICINEA";-;10;76;111;1;1;6;175;1;3;707;2142;65;3298
"313055 IMBE DE MINAS";-;1;-;30;9;6;15;7;1;1;27;445;13;555
"313060 INCONFIDENTES";-;1;11;1;6;1;12;-;-;88;136;434;4;694
"313065 INDAIABIRA";-;1;-;21;1;1;53;-;-;6;7;438;11;539
"313070 INDIANOPOLIS";-;2;14;19;-;2;167;36;3;7;211;203;52;716
"313080 INGAI";-;5;44;1;1;-;-;-;-;1;132;227;-;411
"313090 INHAPIM";-;1;120;424;118;8;6;41;4;12;436;1215;140;2525
"313100 INHAUMA";-;20;447;195;4;-;78;174;2;6;115;518;51;1610
"313110 INIMUTABA";-;71;45;206;4;1;119;1;2;5;358;429;31;1272
"313115 IPABA";-;9;22;481;160;170;143;55;42;16;889;911;154;3052
"313120 IPANEMA";1;16;2;29;1;-;109;480;20;295;25;524;1;1503
"313130 IPATINGA";4;562;847;5372;1364;1837;1135;1430;724;796;11973;6671;1493;34208
"313140 IPIACU";-;20;399;139;9;8;139;208;17;94;169;189;249;1640
"313150 IPUIUNA";-;2;3;3;-;1;5;-;-;-;-;78;1;93
"313160 IRAI DE MINAS";-;5;9;23;1;2;57;22;6;118;306;667;171;1387
"313170 ITABIRA";-;119;355;1357;86;30;407;601;22;198;1254;28244;72;32745
"313180 ITABIRINHA";-;-;42;117;20;-;30;223;13;4;109;831;37;1426
"313190 ITABIRITO";-;18;60;496;8;5;80;4;3;48;158;5117;42;6039
"313200 ITACAMBIRA";-;-;-;4;-;-;13;-;-;1;19;35;2;74
"313210 ITACARAMBI";-;-;12;23;3;11;272;2;-;102;335;56;15;831
"313220 ITAGUARA";-;2;6;914;4;-;317;7;1;33;532;2404;16;4236
"313230 ITAIPE";-;1;2;15;1;1;8;91;-;4;23;472;73;691
"313240 ITAJUBA";-;13;1941;51;7;5;70;1002;10;26;33;7588;2290;13036
"313250 ITAMARANDIBA";-;3;31;1448;15;5;138;22;11;131;65;7418;60;9347
"313260 ITAMARATI DE MINAS";-;8;9;140;-;-;2;6;18;-;51;90;10;334
"313270 ITAMBACURI";-;2;55;1704;519;27;597;567;6;15;763;3038;97;7390
"313280 ITAMBE DO MATO DENTRO";-;-;-;1;-;-;1;1;-;-;3;222;2;230
"313290 ITAMOGI";-;3;7;17;-;-;8;4;1;20;73;874;75;1082
"313300 ITAMONTE";-;-;70;396;4;-;4;98;1;24;37;1946;14;2594
"313310 ITANHANDU";-;1;15;21;2;1;2;12;1;1;6;1014;14;1090
"313320 ITANHOMI";-;7;7;198;12;2;8;118;1;11;82;379;20;845
"313330 ITAOBIM";-;5;15;33;1;-;6;763;6;12;43;876;6;1766
"313340 ITAPAGIPE";4;479;313;170;112;17;199;248;52;918;267;1056;1813;5648
"313350 ITAPECERICA";-;128;461;434;20;35;157;43;-;5;1172;2942;86;5483
"313360 ITAPEVA";-;3;17;6;1;1;1;1;-;-;80;954;80;1144
"313370 ITATIAIUCU";-;3;176;289;1;4;643;25;11;11;368;2770;557;4858
"313375 ITAU DE MINAS";-;211;52;57;12;16;202;53;13;466;2663;1747;74;5566
"313380 ITAUNA";-;162;1814;3639;18;21;731;184;12;75;774;5703;139;13272
"313390 ITAVERAVA";-;1;2;5;-;1;10;2;-;6;19;441;17;504
"313400 ITINGA";-;1;36;44;25;-;12;148;3;4;519;53;1;846
"313410 ITUETA";-;2;153;34;1;1;193;78;3;1;51;154;29;700
"313420 ITUIUTABA";-;591;1202;2412;203;666;2356;1219;63;2403;4728;1198;1482;18523
"313430 ITUMIRIM";-;11;66;5;1;-;3;-;-;8;96;574;6;770
"313440 ITURAMA";1;38;309;325;28;53;544;586;139;320;635;830;2812;6620
"313450 ITUTINGA";-;7;11;24;-;1;3;-;-;-;5;937;19;1007
"313460 JABOTICATUBAS";3;195;34;447;4;6;555;46;44;211;409;1219;103;3276
"313470 JACINTO";-;3;1;55;48;66;7;11;-;29;5;286;2;513
"313480 JACUI";-;6;6;2;-;-;6;3;2;15;121;108;20;289
"313490 JACUTINGA";-;6;96;8;1;-;6;1;1;6;22;1326;706;2179
"313500 JAGUARACU";-;1;8;71;11;13;5;9;5;4;122;59;8;316
"313505 JAIBA";-;2;4;27;3;9;164;75;19;161;287;448;22;1221
"313507 JAMPRUCA";-;4;36;51;13;2;24;58;-;8;24;82;12;314
"313510 JANAUBA";-;50;337;529;206;1534;1656;94;53;1567;1307;2992;884;11209
"313520 JANUARIA";-;4;118;450;16;23;1011;17;8;1308;153;6315;113;9536
"313530 JAPARAIBA";-;26;269;19;-;17;107;8;-;6;19;1045;13;1529
"313535 JAPONVAR";-;7;4;129;81;11;728;12;-;28;924;821;21;2766
"313540 JECEABA";-;27;15;37;2;8;251;1;4;7;177;355;5;889
"313545 JENIPAPO DE MINAS";-;-;-;10;-;-;13;87;139;98;30;384;19;780
"313550 JEQUERI";-;1;3;72;2;-;14;21;1;7;343;447;174;1085
"313560 JEQUITAI";-;1;21;111;6;-;155;1;1;9;41;376;29;751
"313570 JEQUITIBA";-;1;10;281;-;1;123;5;-;2;224;1411;1;2059
"313580 JEQUITINHONHA";-;2;12;21;18;-;9;162;1;6;137;94;5;467
"313590 JESUANIA";-;-;-;-;1;-;2;-;-;-;-;302;2;307
"313600 JOAIMA";-;-;-;42;42;-;10;136;-;3;359;474;4;1070
"313610 JOANESIA";-;7;6;113;6;25;12;15;5;16;158;206;17;586
"313620 JOAO MONLEVADE";-;23;77;3943;20;9;2371;221;22;36;2752;12303;132;21909
"313630 JOAO PINHEIRO";-;322;221;1451;6;184;1745;80;7;423;1935;1034;127;7535
"313640 JOAQUIM FELICIO";-;-;2;23;-;-;97;9;2;19;14;517;3;686
"313650 JORDANIA";-;-;20;2;4;-;4;52;5;2;16;113;6;224
"313652 JOSE GONCALVES DE MINAS";-;-;9;21;-;-;127;87;4;5;9;148;3;413
"313655 JOSE RAYDAN";-;-;5;23;-;1;7;-;36;31;3;389;188;683
"313657 JOSENOPOLIS";-;-;-;90;-;-;151;159;-;3;45;133;11;592
"313660 NOVA UNIAO";-;2;26;125;6;8;95;46;2;2;35;325;36;708
"313665 JUATUBA";-;31;2008;857;68;24;1552;141;37;44;1077;1835;478;8152
"313670 JUIZ DE FORA";2;833;4638;34741;99;153;7501;172;44;120;1535;23661;4104;77603
"313680 JURAMENTO";-;-;2;8;-;11;126;-;-;7;12;275;5;446
"313690 JURUAIA";-;-;51;27;1;1;9;4;-;10;24;310;16;453
"313695 JUVENILIA";-;31;3;51;-;16;64;51;38;64;83;180;1;582
"313700 LADAINHA";-;-;8;95;52;-;2;24;-;2;29;608;30;850
"313710 LAGAMAR";-;50;4;43;1;1;136;5;2;11;171;185;34;643
"313720 LAGOA DA PRATA";-;233;1265;96;8;562;1276;208;236;65;555;6066;625;11195
"313730 LAGOA DOS PATOS";-;1;2;31;3;2;63;6;-;4;34;138;15;299
"313740 LAGOA DOURADA";-;-;3;7;1;1;14;10;1;1;7;637;3;685
"313750 LAGOA FORMOSA";-;64;447;48;8;-;373;114;4;59;789;540;78;2524
"313753 LAGOA GRANDE";-;115;67;173;4;155;506;64;-;180;1718;103;301;3386
"313760 LAGOA SANTA";1;199;1144;3166;26;40;4437;322;146;202;2259;9102;589;21633
"313770 LAJINHA";-;2;3;261;6;5;60;83;1;106;429;567;49;1572
"313780 LAMBARI";-;2;77;7;5;2;5;2;-;1;33;1466;38;1638
"313790 LAMIM";-;-;23;2;2;1;20;-;1;10;24;116;8;207
"313800 LARANJAL";-;1;13;66;2;-;11;1;287;3;15;86;21;506
"313810 LASSANCE";1;16;2;17;3;6;48;74;39;3;100;948;35;1292
"313820 LAVRAS";-;1392;5891;706;35;9;329;46;11;664;4108;7932;342;21465
"313830 LEANDRO FERREIRA";-;22;6;35;1;2;68;36;1;6;49;198;12;436
"313835 LEME DO PRADO";-;-;9;37;29;-;111;100;2;5;76;749;22;1140
"313840 LEOPOLDINA";-;10;159;976;12;17;33;10;1006;10;208;548;219;3208
"313850 LIBERDADE";-;-;-;-;2;-;-;-;-;1;-;138;1;142
"313860 LIMA DUARTE";-;1;200;177;4;3;171;9;2;2;38;2561;52;3220
"313862 LIMEIRA DO OESTE";-;16;271;25;7;7;111;167;193;119;92;406;448;1862
"313865 LONTRA";-;5;-;6;3;5;327;13;5;222;458;830;47;1921
"313867 LUISBURGO";-;1;-;10;1;-;-;-;-;1;13;73;3;102
"313868 LUISLANDIA";-;-;3;125;31;4;238;11;1;5;176;965;251;1810
"313870 LUMINARIAS";-;9;6;4;57;-;15;-;1;-;15;288;6;401
"313880 LUZ";1;42;352;656;1;34;574;34;24;745;205;2953;284;5905
"313890 MACHACALIS";-;18;6;39;7;-;106;20;3;1;84;739;1;1024
"313900 MACHADO";-;18;663;217;2;2;31;5;2;67;169;4332;71;5579
"313910 MADRE DE DEUS DE MINAS";-;1;-;3;-;-;3;2;2;-;9;1124;5;1149
"313920 MALACACHETA";-;7;91;135;10;1;17;24;12;21;295;1265;18;1896
"313925 MAMONAS";-;1;2;35;2;89;55;8;5;53;17;172;43;482
"313930 MANGA";-;5;81;219;8;154;183;32;78;12;393;1938;21;3124
"313940 MANHUACU";-;22;47;1673;5;3;158;25;35;134;4633;10469;31;17235
"313950 MANHUMIRIM";-;7;17;332;1;-;32;112;-;14;982;898;3;2398
"313960 MANTENA";-;4;31;211;6;61;406;949;2;16;585;1229;15;3515
"313970 MARAVILHAS";-;-;13;359;3;12;571;44;-;4;328;805;50;2189
"313980 MAR DE ESPANHA";-;8;11;381;3;1;59;6;2;1;11;990;5;1478
"313990 MARIA DA FE";-;-;5;4;-;3;2;10;-;1;12;153;21;211
"314000 MARIANA";-;10;31;486;5;16;280;57;5;22;2314;10000;206;13432
"314010 MARILAC";1;-;2;24;2;4;146;20;62;-;44;526;62;893
"314015 MARIO CAMPOS";-;48;265;586;16;5;1240;58;17;68;575;2420;186;5484
"314020 MARIPA DE MINAS";-;1;3;26;-;2;2;-;-;10;133;181;358;716
"314030 MARLIERIA";-;2;1;57;5;94;16;12;12;10;169;58;13;449
"314040 MARMELOPOLIS";-;-;2;-;-;-;-;1;-;-;1;4;1;9
"314050 MARTINHO CAMPOS";-;35;49;90;43;100;838;90;12;27;701;2504;204;4693
"314053 MARTINS SOARES";-;3;18;13;-;-;33;-;1;3;139;304;2;516
"314055 MATA VERDE";-;10;6;14;1;1;1;65;10;15;1;274;3;401
"314060 MATERLANDIA";-;-;7;4;-;1;102;-;1;3;238;301;17;674
"314070 MATEUS LEME";-;233;414;1573;20;13;1033;49;15;19;727;2463;70;6629
"314080 MATIAS BARBOSA";-;2;65;395;1;-;34;13;36;7;57;1266;605;2481
"314085 MATIAS CARDOSO";-;3;126;6;2;4;63;8;127;71;211;75;3;699
"314090 MATIPO";-;11;3;72;1;-;12;-;-;2;791;666;63;1621
"314100 MATO VERDE";-;2;130;182;31;152;336;6;-;85;24;698;51;1697
"314110 MATOZINHOS";-;51;84;843;2;11;2013;118;6;11;167;7359;178;10843
"314120 MATUTINA";-;15;14;267;-;2;6;4;-;38;11;807;9;1173
"314130 MEDEIROS";-;-;21;-;-;-;13;-;1;299;5;115;1;455
"314140 MEDINA";-;1;162;51;382;-;6;399;3;9;13;449;11;1486
"314150 MENDES PIMENTEL";-;-;2;39;-;-;5;29;-;1;28;285;3;392
"314160 MERCES";-;-;1;45;1;1;67;4;-;1;127;354;35;636
"314170 MESQUITA";-;10;12;151;6;9;10;20;6;5;84;59;14;386
"314180 MINAS NOVAS";-;97;67;477;3;3;95;168;183;262;642;2220;30;4247
"314190 MINDURI";-;-;2;-;-;-;-;-;-;-;1;1106;3;1112
"314200 MIRABELA";-;-;152;115;1;233;725;28;15;162;97;190;19;1737
"314210 MIRADOURO";-;-;162;162;2;15;39;10;25;13;677;274;264;1643
"314220 MIRAI";-;2;9;137;3;12;9;29;426;10;240;282;44;1203
"314225 MIRAVANIA";-;-;20;12;-;2;205;54;9;3;39;221;7;572
"314230 MOEDA";-;1;5;51;3;-;19;2;5;4;18;362;10;480
"314240 MOEMA";-;7;157;23;2;69;6;2;1;1;15;196;15;494
"314250 MONJOLOS";-;1;4;25;16;4;39;1;1;-;12;666;5;774
"314260 MONSENHOR PAULO";-;2;27;8;92;1;7;10;1;11;35;620;26;840
"314270 MONTALVANIA";-;254;91;154;29;235;17;44;17;96;28;681;16;1662
"314280 MONTE ALEGRE DE MINAS";-;10;29;30;130;9;129;93;37;140;66;169;49;891
"314290 MONTE AZUL";-;2;58;177;3;22;118;11;24;248;124;452;93;1332
"314300 MONTE BELO";-;-;10;18;8;1;74;22;21;39;356;502;24;1075
"314310 MONTE CARMELO";2;483;1564;1278;112;15;706;112;159;184;4976;352;658;10601
"314315 MONTE FORMOSO";-;-;-;4;-;-;-;22;-;-;13;175;1;215
"314320 MONTE SANTO DE MINAS";-;9;376;56;2;4;59;82;6;23;89;2887;274;3867
"314330 MONTES CLAROS";4;150;1277;2243;114;241;8387;76;30;244;8391;17036;585;38778
"314340 MONTE SIAO";-;8;151;4;-;1;121;6;2;142;6;2099;89;2629
"314345 MONTEZUMA";-;-;-;-;-;-;72;8;1;14;3;169;2;269
"314350 MORADA NOVA DE MINAS";16;441;200;521;16;26;199;60;15;84;677;395;9;2659
"314360 MORRO DA GARCA";-;-;3;264;1;-;80;-;-;1;43;79;7;478
"314370 MORRO DO PILAR";-;-;-;19;-;3;48;1;2;-;11;494;124;702
"314380 MUNHOZ";-;-;4;-;-;-;-;-;-;-;1;30;3;38
"314390 MURIAE";-;78;1037;3538;120;180;1763;117;166;158;5991;3147;1647;17942
"314400 MUTUM";-;8;430;1071;41;4;52;613;100;58;744;255;12;3388
"314410 MUZAMBINHO";-;2;10;2;-;1;12;10;-;8;17;877;62;1001
"314420 NACIP RAYDAN";-;-;1;25;-;-;-;41;-;2;91;87;57;304
"314430 NANUQUE";-;8;79;350;151;8;101;98;23;189;1111;1127;46;3291
"314435 NAQUE";-;2;2;5;5;20;6;113;5;18;155;674;88;1093
"314437 NATALANDIA";-;131;83;100;1;-;28;20;5;164;543;426;15;1516
"314440 NATERCIA";-;1;2;1;-;-;1;-;-;-;1;123;6;135
"314450 NAZARENO";-;8;10;11;-;-;7;1;1;1;66;1112;2;1219
"314460 NEPOMUCENO";-;32;208;195;10;12;613;5;3;131;1212;2896;84;5401
"314465 NINHEIRA";-;9;36;24;1;1;3;1;-;3;2;113;35;228
"314467 NOVA BELEM";-;-;5;36;1;3;4;77;4;1;49;189;5;374
"314470 NOVA ERA";-;16;11;239;4;2;66;133;3;1;76;1994;2;2547
"314480 NOVA LIMA";1;34;150;4677;171;92;1117;340;47;151;1301;11079;678;19838
"314490 NOVA MODICA";-;4;1;17;-;-;7;33;4;209;84;320;45;724
"314500 NOVA PONTE";-;38;50;67;8;18;186;45;4;25;280;284;160;1165
"314505 NOVA PORTEIRINHA";-;1;58;120;5;104;271;-;6;133;217;483;22;1420
"314510 NOVA RESENDE";-;5;2;14;2;1;7;8;-;52;31;661;46;829
"314520 NOVA SERRANA";-;525;429;2297;20;639;4415;765;197;1845;7752;11421;1961;32266
"314530 NOVO CRUZEIRO";1;50;65;218;24;-;13;17;7;10;144;1976;36;2561
"314535 NOVO ORIENTE DE MINAS";-;6;18;164;2;1;19;315;6;25;195;354;3;1108
"314537 NOVORIZONTE";-;-;-;2;-;-;14;9;-;-;14;268;28;335
"314540 OLARIA";-;-;3;115;1;-;3;-;-;4;2;96;9;233
"314545 OLHOS-D'AGUA";-;2;-;13;2;2;87;-;-;-;60;260;6;432
"314550 OLIMPIO NORONHA";-;-;-;-;-;-;-;1;-;-;-;267;2;270
"314560 OLIVEIRA";-;41;49;605;7;5;82;40;7;170;4078;2170;91;7345
"314570 OLIVEIRA FORTES";-;-;-;3;-;-;-;-;-;25;10;86;16;140
"314580 ONCA DE PITANGUI";-;20;9;83;1;1;40;37;7;12;66;324;14;614
"314585 ORATORIOS";-;-;1;34;-;-;5;3;-;4;86;149;26;308
"314587 ORIZANIA";-;-;-;5;-;-;3;1;-;-;118;201;4;332
"314590 OURO BRANCO";-;2;16;58;1;3;138;8;6;22;174;7414;392;8234
"314600 OURO FINO";-;10;81;13;-;3;9;2;2;282;14;2436;93;2945
"314610 OURO PRETO";-;14;38;249;11;4;112;11;3;18;205;3714;65;4444
"314620 OURO VERDE DE MINAS";-;4;98;457;6;1;4;92;-;5;27;435;8;1137
"314625 PADRE CARVALHO";-;-;38;113;1;1;331;81;2;1;114;689;21;1392
"314630 PADRE PARAISO";-;8;59;68;75;15;117;285;17;20;384;1650;51;2749
"314640 PAINEIRAS";-;116;174;131;3;9;92;10;4;257;218;510;31;1555
"314650 PAINS";-;94;53;53;5;10;139;122;11;38;251;516;196;1488
"314655 PAI PEDRO";-;-;2;5;4;21;69;25;13;277;109;267;122;914
"314660 PAIVA";-;-;2;4;-;-;1;1;-;1;-;471;27;507
"314670 PALMA";-;44;298;20;1;2;1;3;9;57;24;235;90;784
"314675 PALMOPOLIS";-;2;-;17;-;-;-;57;-;1;67;186;6;336
"314690 PAPAGAIOS";-;6;307;1104;5;11;433;558;78;21;59;677;159;3418
"314700 PARACATU";-;4375;890;2297;144;132;3382;630;94;1450;4035;2182;121;19732
"314710 PARA DE MINAS";-;90;340;4435;118;22;2636;3650;114;17;1207;8136;119;20884
"314720 PARAGUACU";-;60;44;52;-;3;12;486;18;1370;26;969;61;3101
"314730 PARAISOPOLIS";-;5;262;11;1;2;4;16;1;1;-;410;43;756
"314740 PARAOPEBA";-;13;21;551;51;16;107;56;42;14;1672;785;18;3346
"314750 PASSABEM";-;-;-;6;-;1;1;2;-;-;9;170;15;204
"314760 PASSA QUATRO";-;3;45;23;1;5;2;15;-;2;16;532;76;720
"314770 PASSA TEMPO";-;9;18;133;-;-;22;2;1;45;113;897;10;1250
"314780 PASSA-VINTE";-;-;1;3;-;-;2;-;1;130;7;84;14;242
"314790 PASSOS";-;4784;1334;1253;132;189;3475;756;142;3087;13030;17817;1613;47612
"314795 PATIS";-;-;54;153;-;1;103;1;-;26;67;250;14;669
"314800 PATOS DE MINAS";3;1530;921;1660;522;79;5555;817;140;3404;7469;13643;1530;37273
"314810 PATROCINIO";1;32;852;2054;43;80;2189;147;34;694;3348;4500;1822;15796
"314820 PATROCINIO DO MURIAE";-;4;68;180;1;-;80;-;-;175;22;48;416;994
"314830 PAULA CANDIDO";-;-;1;187;-;-;2;1;-;-;13;273;71;548
"314840 PAULISTAS";-;-;-;26;-;-;24;109;1;1;6;298;4;469
"314850 PAVAO";-;10;4;64;-;-;-;30;12;8;53;562;13;756
"314860 PECANHA";-;11;152;2;-;-;13;5;5;8;85;1112;92;1485
"314870 PEDRA AZUL";-;14;118;1005;104;1;4;161;3;3;10;201;10;1634
"314875 PEDRA BONITA";-;-;2;2;1;-;-;-;-;-;3;63;2;73
"314880 PEDRA DO ANTA";-;-;4;38;-;2;2;-;-;3;402;294;35;780
"314890 PEDRA DO INDAIA";-;46;45;38;-;2;21;5;2;9;112;762;17;1059
"314900 PEDRA DOURADA";-;1;-;8;-;-;-;-;-;1;9;33;13;65
"314910 PEDRALVA";-;1;41;113;3;-;7;8;-;-;2;322;25;522
"314915 PEDRAS DE MARIA DA CRUZ";-;1;4;83;1;1;101;-;1;116;15;336;22;681
"314920 PEDRINOPOLIS";1;2;7;29;-;1;69;4;8;44;88;782;16;1051
"314930 PEDRO LEOPOLDO";-;21;1025;1516;12;11;999;183;19;147;621;7836;102;12492
"314940 PEDRO TEIXEIRA";-;-;1;7;-;1;3;-;-;-;3;49;6;70
"314950 PEQUERI";-;-;4;26;-;2;83;3;-;145;29;110;17;419
"314960 PEQUI";-;9;157;482;4;58;314;30;14;4;18;1030;12;2132
"314970 PERDIGAO";-;21;711;381;25;22;380;310;6;12;875;1517;163;4423
"314980 PERDIZES";-;2;65;164;2;5;74;8;12;239;1587;1284;169;3611
"314990 PERDOES";-;798;233;50;5;4;466;88;1;8;887;1473;47;4060
"314995 PERIQUITO";-;2;13;129;4;-;15;66;-;5;31;36;10;311
"315000 PESCADOR";-;31;4;15;25;2;19;25;9;29;40;151;5;355
"315010 PIAU";-;-;-;110;5;3;22;11;-;1;226;492;81;951
"315015 PIEDADE DE CARATINGA";-;-;4;59;6;6;2;11;1;13;123;659;13;897
"315020 PIEDADE DE PONTE NOVA";-;1;4;32;-;13;55;1;-;1;125;181;31;444
"315030 PIEDADE DO RIO GRANDE";-;-;-;2;-;-;-;1;-;-;219;875;9;1106
"315040 PIEDADE DOS GERAIS";-;3;10;44;1;-;22;5;-;1;7;194;17;304
"315050 PIMENTA";-;53;80;4;6;3;292;25;5;126;546;1944;18;3102
"315053 PINGO-D'AGUA";-;1;1;105;23;2;53;81;6;15;804;241;15;1347
"315057 PINTOPOLIS";-;5;143;25;3;-;97;-;-;6;16;195;1;491
"315060 PIRACEMA";-;-;45;129;-;-;82;3;-;1;105;1315;75;1755
"315070 PIRAJUBA";-;26;147;173;20;18;321;94;6;222;70;91;338;1526
"315080 PIRANGA";-;-;10;124;3;6;17;-;-;8;25;1256;50;1499
"315090 PIRANGUCU";-;2;5;6;1;2;-;5;2;-;3;228;3;257
"315100 PIRANGUINHO";-;-;25;-;-;-;5;6;-;13;5;157;63;274
"315110 PIRAPETINGA";-;2;125;132;-;1;4;6;2;56;6;183;4;521
"315120 PIRAPORA";-;18;122;213;14;22;1113;9;11;456;1360;1086;20;4444
"315130 PIRAUBA";-;-;31;575;7;259;438;106;20;20;132;333;361;2282
"315140 PITANGUI";-;5;25;247;7;10;438;82;45;9;1497;983;142;3490
"315150 PIUMHI";-;259;428;113;1;31;413;280;82;1265;1968;4345;72;9257
"315160 PLANURA";-;27;325;40;8;49;577;178;15;363;688;472;1398;4140
"315170 POCO FUNDO";-;1;7;24;-;-;3;6;4;1;3;577;228;854
"315180 POCOS DE CALDAS";-;32;165;91;7;7;38;26;6;17;26;1426;402;2243
"315190 POCRANE";-;2;1;3;1;-;163;8;-;18;9;531;4;740
"315200 POMPEU";-;62;440;1462;57;32;1162;170;6;9;745;2180;59;6384
"315210 PONTE NOVA";1;13;13;537;-;18;192;33;81;147;5363;4882;2736;14016
"315213 PONTO CHIQUE";-;2;108;25;-;64;87;5;19;27;78;66;16;497
"315217 PONTO DOS VOLANTES";-;4;12;9;6;1;2;101;4;5;5;102;8;259
"315220 PORTEIRINHA";-;8;86;78;495;96;252;324;66;211;73;774;73;2536
"315230 PORTO FIRME";-;1;1;154;-;4;8;12;-;-;21;399;900;1500
"315240 POTE";-;4;4;156;27;6;8;54;10;104;313;169;99;954
"315250 POUSO ALEGRE";-;44;642;54;11;4;48;28;10;71;226;11834;1413;14385
"315260 POUSO ALTO";-;-;2;4;-;2;2;1;-;-;6;1014;22;1053
"315270 PRADOS";-;4;1;187;1;-;28;7;22;14;35;1095;8;1402
"315280 PRATA";-;93;111;431;73;87;1457;27;74;107;1689;2043;1103;7295
"315290 PRATAPOLIS";-;2;90;55;69;-;83;129;1;449;820;554;76;2328
"315300 PRATINHA";-;-;5;6;2;1;2;1;-;14;13;237;4;285
"315310 PRESIDENTE BERNARDES";-;-;-;17;2;2;5;4;-;-;5;230;21;286
"315320 PRESIDENTE JUSCELINO";-;26;3;42;2;-;68;8;1;5;51;709;1;916
"315330 PRESIDENTE KUBITSCHEK";-;-;-;5;-;-;14;1;-;-;8;136;7;171
"315340 PRESIDENTE OLEGARIO";-;69;54;237;2;7;783;32;17;164;56;422;86;1929
"315350 ALTO JEQUITIBA";-;-;2;70;-;-;5;358;2;-;90;286;16;829
"315360 PRUDENTE DE MORAIS";-;10;23;118;9;9;254;67;16;9;396;914;70;1895
"315370 QUARTEL GERAL";-;5;251;55;3;2;21;18;5;10;91;161;55;677
"315380 QUELUZITO";-;-;-;2;-;2;5;1;1;5;27;273;9;325
"315390 RAPOSOS";-;2;376;691;20;4;111;25;7;12;108;1197;350;2903
"315400 RAUL SOARES";1;-;364;148;3;6;23;225;6;2;274;1302;171;2525
